Type,Sub Type,Temperature,ID,Max Frequency,Mean Frequency,Centroid,Thermal Damage
Heated,,1000,42133,1.763819095477387,13.5,7.567888997737842,0.858894588080459
Heated,,1000,42134,1.763819095477387,13.5,7.564271713881582,0.8619703630192044
Heated,,1000,42135,1.763819095477387,13.5,7.566914249854975,0.8881271598123361
Heated,,1000,42136,1.763819095477387,13.5,7.547880994961573,0.9014724642986278
Heated,,1000,42137,1.763819095477387,13.5,7.615139374913932,0.9017952406115006
Heated,,1000,42138,1.763819095477387,13.5,7.611479325733363,0.9019564301770965
Heated,,1000,42139,1.763819095477387,13.5,7.614956767711908,0.9017952406115006
Heated,,1000,42140,1.763819095477387,13.5,7.613884370016783,0.9019564301770965
Heated,,1000,42141,1.763819095477387,13.5,7.610960563967949,0.9017952406115006
Heated,,1000,42142,1.763819095477387,13.5,7.609800349899056,0.9017952406115006
Heated,,1000,42143,1.763819095477387,13.5,7.613676090963733,0.9019564301770965
Heated,,1000,42144,1.763819095477387,13.5,7.609490758216391,0.9017952406115006
Heated,,1000,42145,1.763819095477387,13.5,7.612079861023067,0.9019564301770965
Heated,,750,42146,1.492462311557789,13.5,6.647713805928388,0.8555894407208555
Heated,,750,42147,1.492462311557789,13.5,6.631898664891758,0.8540208378681413
Heated,,750,42148,1.492462311557789,13.5,6.537784401403101,0.8522460315259689
Heated,,750,42149,1.492462311557789,13.5,6.58087465257517,0.8540208378681413
Heated,,750,42150,1.492462311557789,13.5,6.492286061220957,0.8504605012784057
Heated,,750,42151,1.492462311557789,13.5,6.514960353733604,0.8482636232030755
Heated,,750,42152,1.492462311557789,13.5,6.485214745530108,0.841166979515313
Heated,,750,42153,1.492462311557789,13.5,6.501808301760996,0.841166979515313
Heated,,750,42154,1.492462311557789,13.5,6.521569837911985,0.841166979515313
Heated,,750,42155,1.492462311557789,13.5,6.560896119201083,0.8458487585817466
Heated,,750,42176,1.6281407035175879,13.5,7.354196165678993,0.5941745863276167
Heated,,750,42177,1.6281407035175879,13.5,7.8730687044896435,0.7423132252598316
Heated,,750,42178,1.6281407035175879,13.5,7.858143887321454,0.6848281275942893
Heated,,750,42179,1.6281407035175879,13.5,7.767859307862036,0.7362703045721326
Heated,,750,42180,1.6281407035175879,13.5,7.653864365788471,0.7352122125735767
Heated,,750,42181,1.6281407035175879,13.5,7.5702243031633065,0.7383801336623463
Heated,,750,42182,1.6281407035175879,13.5,7.540229631147578,0.7412673134994971
Heated,,750,42183,1.6281407035175879,13.5,7.532657308911113,0.7433570187178665
Heated,,750,42184,1.6281407035175879,13.5,7.52260936676269,0.7433570187178665
Heated,,750,42185,1.6281407035175879,13.5,7.527956342324227,0.7441384736755088
Heated,,1000,42436,1.6281407035175879,13.5,7.652672244758321,0.8724686692150871
Heated,,1000,42437,1.6281407035175879,13.5,7.713525862653773,0.8724686692150871
Heated,,1000,42438,1.6281407035175879,13.5,7.83073317038715,0.9024392045105217
Heated,,1000,42439,1.6281407035175879,13.5,7.865740041597708,0.8724686692150871
Heated,,1000,42440,1.6281407035175879,13.5,7.808468350698197,0.871548200669046
